"","Date","Close","Volume","Ticker"
"25005",2020-10-19,10.72,504900,"SFT"
"25006",2020-10-20,10.83,280600,"SFT"
"25007",2020-10-21,10.92,451400,"SFT"
"25008",2020-10-22,9.93,987500,"SFT"
"25009",2020-10-23,9.58,1018500,"SFT"
"25010",2020-10-26,9.55,670000,"SFT"
"25011",2020-10-27,9.51,495600,"SFT"
"25012",2020-10-28,9,552800,"SFT"
"25013",2020-10-29,9.29,239600,"SFT"
"25014",2020-10-30,8.9,691700,"SFT"
"25015",2020-11-02,8.86,252600,"SFT"
"25016",2020-11-03,9.08,275800,"SFT"
"25017",2020-11-04,8.86,1011300,"SFT"
"25018",2020-11-05,8.67,602100,"SFT"
"25019",2020-11-06,8.69,743700,"SFT"
"25020",2020-11-09,8.41,609200,"SFT"
"25021",2020-11-10,8.97,714100,"SFT"
"25022",2020-11-11,9.53,507800,"SFT"
"25023",2020-11-12,9.89,659300,"SFT"
"25024",2020-11-13,7.29,6086400,"SFT"
"25025",2020-11-16,7.01,1868500,"SFT"
"25026",2020-11-17,6.84,1160400,"SFT"
"25027",2020-11-18,6.6,1355700,"SFT"
"25028",2020-11-19,6.715,792600,"SFT"
"25029",2020-11-20,6.59,1166600,"SFT"
"25030",2020-11-23,6.63,2014900,"SFT"
"25031",2020-11-24,7.32,1928000,"SFT"
"25032",2020-11-25,8.99,5679500,"SFT"
"25033",2020-11-27,9.21,8472700,"SFT"
"25034",2020-11-30,9.39,3764300,"SFT"
"25035",2020-12-01,8.7,1870900,"SFT"
"25036",2020-12-02,8.97,1933200,"SFT"
"25037",2020-12-03,8.58,1233900,"SFT"
"25038",2020-12-04,8.95,1764700,"SFT"
"25039",2020-12-07,9.47,3478000,"SFT"
"25040",2020-12-08,9.31,1726100,"SFT"
"25041",2020-12-09,8.68,1867500,"SFT"
"25042",2020-12-10,8.78,1969300,"SFT"
"25043",2020-12-11,8.64,1141800,"SFT"
"25044",2020-12-14,8.48,2429000,"SFT"
"25045",2020-12-15,8.19,1942400,"SFT"
"25046",2020-12-16,8.18,1733600,"SFT"
"25047",2020-12-17,8.83,2295700,"SFT"
"25048",2020-12-18,8.64,5111100,"SFT"
"25049",2020-12-21,9.14,2836100,"SFT"
"25050",2020-12-22,9.43,1742900,"SFT"
"25051",2020-12-23,9.32,1271400,"SFT"
"25052",2020-12-24,9.18,702200,"SFT"
"25053",2020-12-28,9.33,1242100,"SFT"
"25054",2020-12-29,8.78,1343200,"SFT"
"25055",2020-12-30,8.63,1165500,"SFT"
"25056",2020-12-31,8.27,1067100,"SFT"
"25057",2021-01-04,8.31,835900,"SFT"
"25058",2021-01-05,8.05,1302400,"SFT"
"25059",2021-01-06,7.93,1217700,"SFT"
"25060",2021-01-07,7.94,1085600,"SFT"
"25061",2021-01-08,8.03,1077900,"SFT"
"25062",2021-01-11,8.38,1153400,"SFT"
"25063",2021-01-12,8.45,840600,"SFT"
"25064",2021-01-13,8.5,997400,"SFT"
"25065",2021-01-14,8.41,1080000,"SFT"
"25066",2021-01-15,8.31,1226000,"SFT"
"25067",2021-01-19,8.08,1291000,"SFT"
"25068",2021-01-20,8.45,1233200,"SFT"
"25069",2021-01-21,8.26,932500,"SFT"
"25070",2021-01-22,8.24,1678000,"SFT"
"25071",2021-01-25,8.86,3210500,"SFT"
"25072",2021-01-26,9.07,3186900,"SFT"
"25073",2021-01-27,8.42,1864000,"SFT"
"25074",2021-01-28,8.31,1170900,"SFT"
"25075",2019-03-07,9.79,11600,"SJ"
"25076",2019-03-08,9.79,0,"SJ"
"25077",2019-03-11,9.79,19500,"SJ"
"25078",2019-03-12,9.85,105800,"SJ"
"25079",2019-03-13,9.79,53900,"SJ"
"25080",2019-03-14,9.79,0,"SJ"
"25081",2019-03-15,9.79,0,"SJ"
"25082",2019-03-18,9.79,100,"SJ"
"25083",2019-03-19,9.79,0,"SJ"
"25084",2019-03-20,9.79,0,"SJ"
"25085",2019-03-21,9.79,100,"SJ"
"25086",2019-03-22,9.79,100,"SJ"
"25087",2019-03-25,9.79,100,"SJ"
"25088",2019-03-26,9.81,45600,"SJ"
"25089",2019-03-27,9.79,35000,"SJ"
"25090",2019-03-28,9.79,0,"SJ"
"25091",2019-03-29,9.82,36200,"SJ"
"25092",2019-04-01,9.82,191100,"SJ"
"25093",2019-04-02,9.8,12100,"SJ"
"25094",2019-04-03,9.81,23400,"SJ"
"25095",2019-04-04,9.79,386000,"SJ"
"25096",2019-04-05,9.8,17200,"SJ"
"25097",2019-04-08,9.8,0,"SJ"
"25098",2019-04-09,9.8,100,"SJ"
"25099",2019-04-10,9.8,43200,"SJ"
"25100",2019-04-11,9.8,60600,"SJ"
"25101",2019-04-12,9.83,235700,"SJ"
"25102",2019-04-15,9.84,138800,"SJ"
"25103",2019-04-16,9.84,3500,"SJ"
"25104",2019-04-17,10.05,74200,"SJ"
"25105",2019-04-18,10.05,0,"SJ"
"25106",2019-04-22,9.965,12700,"SJ"
"25107",2019-04-23,9.965,0,"SJ"
"25108",2019-04-24,9.88,100,"SJ"
"25109",2019-04-25,9.88,12100,"SJ"
"25110",2019-04-26,9.88,100,"SJ"
"25111",2019-04-29,9.9,4000,"SJ"
"25112",2019-04-30,9.9,100,"SJ"
"25113",2019-05-01,9.9,0,"SJ"
"25114",2019-05-02,9.9,0,"SJ"
"25115",2019-05-03,9.9,0,"SJ"
"25116",2019-05-06,9.9,0,"SJ"
"25117",2019-05-07,9.9,0,"SJ"
"25118",2019-05-08,9.9,0,"SJ"
"25119",2019-05-09,9.9,0,"SJ"
"25120",2019-05-10,9.9,0,"SJ"
"25121",2019-05-13,9.9,0,"SJ"
"25122",2019-05-14,9.9,0,"SJ"
"25123",2019-05-15,9.9,0,"SJ"
"25124",2019-05-16,9.9,0,"SJ"
"25125",2019-05-17,9.87,400,"SJ"
"25126",2019-05-20,9.87,0,"SJ"
"25127",2019-05-21,9.87,0,"SJ"
"25128",2019-05-22,9.87,0,"SJ"
"25129",2019-05-23,9.87,0,"SJ"
"25130",2019-05-24,9.87,0,"SJ"
"25131",2019-05-28,9.89,11700,"SJ"
"25132",2019-05-29,9.89,0,"SJ"
"25133",2019-05-30,9.89,0,"SJ"
"25134",2019-05-31,9.89,0,"SJ"
"25135",2019-06-03,9.89,100,"SJ"
"25136",2019-06-04,9.89,0,"SJ"
"25137",2019-06-05,9.89,0,"SJ"
"25138",2019-06-06,9.87,1400,"SJ"
"25139",2019-06-07,9.9,4500,"SJ"
"25140",2019-06-10,10,600,"SJ"
"25141",2019-06-11,10,0,"SJ"
"25142",2019-06-12,10,0,"SJ"
"25143",2019-06-13,10.14,700,"SJ"
"25144",2019-06-14,10.14,0,"SJ"
"25145",2019-06-17,10.14,0,"SJ"
"25146",2019-06-18,10.1,100,"SJ"
"25147",2019-06-19,10.1,0,"SJ"
"25148",2019-06-20,10.1,0,"SJ"
"25149",2019-06-21,10.1,0,"SJ"
"25150",2019-06-24,10.1,100,"SJ"
"25151",2019-06-25,10.1,0,"SJ"
"25152",2019-06-26,10.1,100,"SJ"
